movie_genres,movie_id,movie_title
[4],1681,You So Crazy (1994)
[4 7],1457,Love Is All There Is (1996)
[1 3],500,Fly Away Home (1996)
[0],838,In the Line of Duty 2 (1987)
[7],1648,"Niagara, Niagara (1997)"
[5],547,"Young Poisoner's Handbook, The (1995)"
[7],387,"Age of Innocence, The (1993)"
[7],1495,Flirt (1995)
[7],817,Frisk (1995)
[17],267,unknown
[7],1637,Girls Town (1996)
[7],1396,Stonewall (1995)
[ 0  1 14 18],498,"African Queen, The (1951)"
[ 7 16],852,"Bloody Child, The (1996)"
[ 0 16],685,Executive Decision (1996)
[0 1 4 5],231,Batman Returns (1992)
[ 4 18],719,Canadian Bacon (1994)
[3 7 8],308,FairyTale: A True Story (1997)
[10],445,"Body Snatcher, The (1945)"
[ 4 14],486,Sabrina (1954)
[ 1 15 16],355,Sphere (1998)
[7],1592,"Magic Hour, The (1998)"
[7],923,Raise the Red Lantern (1991)
[1 3],1033,Homeward Bound II: Lost in San Francisco (1996)
[4 5],248,Grosse Pointe Blank (1997)
[ 0  7 16],244,Smilla's Sense of Snow (1997)
[7],1285,Princess Caraboo (1994)
[ 4  7 14],512,Wings of Desire (1987)
[7],1578,"Collectionneuse, La (1967)"
[4],40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
[1 3],1031,Lassie (1994)
[7],1546,Shadows (Cienie) (1988)
[7],1541,"Beans of Egypt, Maine, The (1994)"
[ 7 12],543,"Misérables, Les (1995)"
[4],1479,Reckless (1995)
[7],1518,Losing Isaiah (1995)
[7],1347,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
[ 4 10],637,"Howling, The (1981)"
[7],896,"Sweet Hereafter, The (1997)"
[7],1405,Boy's Life 2 (1997)
[10],447,Carrie (1976)
[ 5  7 13],1669,MURDER and murder (1996)
[ 4 12],629,Victor/Victoria (1982)
[15],760,Screamers (1995)
[7],920,Two Bits (1995)
[4],1527,Senseless (1998)
[7],981,Dangerous Ground (1997)
[4],1093,Live Nude Girls (1995)
[7],1323,"Wooden Man's Bride, The (Wu Kui) (1994)"
[3 4],539,Mouse Hunt (1997)
[ 7 18],647,Ran (1985)
[4 7],1588,Salut cousin! (1996)
[4 7],1165,Big Bully (1996)
[15],434,Forbidden Planet (1956)
[7],136,Mr. Smith Goes to Washington (1939)
[ 7 18],180,Apocalypse Now (1979)
[7],614,Giant (1956)
[7],1328,Of Love and Shadows (1994)
[5 7],56,Pulp Fiction (1994)
[4],907,Vermin (1998)
[ 0 16],144,Die Hard (1988)
[ 0  1  7 14],720,First Knight (1995)
[0 1 4 5],29,Batman Forever (1995)
[4],1494,"Mostro, Il (1994)"
[7],1583,"Invitation, The (Zaproszenie) (1986)"
[7],958,To Live (Huozhe) (1994)
[1 3 4],151,Willy Wonka and the Chocolate Factory (1971)
[ 4 16],992,Head Above Water (1996)
[4],290,Fierce Creatures (1997)
[ 0  1  4 10],201,Evil Dead II (1987)
[0 1 5],254,Batman & Robin (1997)
[4 7],65,What's Eating Gilbert Grape (1993)
